market_type,instrument_type,exchange_code,stock_code,standard_code,stock_name,stock_name_en,currency_code,etf_yn,nxt_yn
KOSPI,STOCK,KRX,000020,KR7000020008,동화약품,,KRW,N,N
KOSPI,STOCK,KRX,000040,KR7000040006,KR모터스,,KRW,N,N
KOSPI,STOCK,KRX,000050,KR7000050005,경방,,KRW,N,N
KOSPI,STOCK,KRX,000070,KR7000070003,삼양홀딩스,,KRW,N,N
KOSPI,STOCK,KRX,000080,KR7000080002,하이트진로,,KRW,N,N
KOSPI,STOCK,KRX,000087,KR7000082008,하이트진로2우B,,KRW,N,N
KOSPI,STOCK,KRX,000100,KR7000100008,유한양행,,KRW,N,N
KOSPI,STOCK,KRX,000105,KR7000101006,유한양행우,,KRW,N,N
KOSPI,STOCK,KRX,000120,KR7000120006,CJ대한통운,,KRW,N,N
KOSPI,STOCK,KRX,000140,KR7000140004,하이트진로홀딩스,,KRW,N,N
KOSPI,STOCK,KRX,000145,KR7000141002,하이트진로홀딩스우,,KRW,N,N
KOSPI,STOCK,KRX,000150,KR7000150003,두산,,KRW,N,N
KOSPI,STOCK,KRX,000155,KR7000151001,두산우,,KRW,N,N
KOSPI,STOCK,KRX,000157,KR7000152009,두산2우B,,KRW,N,N
KOSPI,STOCK,KRX,000180,KR7000180000,성창기업지주,,KRW,N,N
KOSPI,STOCK,KRX,000210,KR7000210005,DL,,KRW,N,N
KOSPI,STOCK,KRX,000215,KR7000211003,DL우,,KRW,N,N
KOSPI,STOCK,KRX,000220,KR7000220004,유유제약,,KRW,N,N
KOSPI,STOCK,KRX,000225,KR7000221002,유유제약1우,,KRW,N,N
KOSPI,STOCK,KRX,000227,KR7000222000,유유제약2우B,,KRW,N,N
KOSPI,STOCK,KRX,000230,KR7000230003,일동홀딩스,,KRW,N,N
KOSPI,STOCK,KRX,000240,KR7000240002,한국앤컴퍼니,,KRW,N,N
KOSPI,STOCK,KRX,000270,KR7000270009,기아,,KRW,N,N
KOSPI,STOCK,KRX,000300,KR7000300004,DH오토넥스,,KRW,N,N
KOSPI,STOCK,KRX,000320,KR7000320002,노루홀딩스,,KRW,N,N
KOSPI,STOCK,KRX,000325,KR7000321000,노루홀딩스우,,KRW,N,N
KOSPI,STOCK,KRX,000370,KR7000370007,한화손해보험,,KRW,N,N
KOSPI,STOCK,KRX,000390,KR7000390005,삼화페인트,,KRW,N,N
KOSPI,STOCK,KRX,000400,KR7000400002,롯데손해보험,,KRW,N,N
KOSPI,STOCK,KRX,000430,KR7000430009,대원강업,,KRW,N,N
KOSPI,STOCK,KRX,000480,KR7000480004,CR홀딩스,,KRW,N,N
KOSPI,STOCK,KRX,000490,KR7000490003,대동,,KRW,N,N
KOSPI,STOCK,KRX,000500,KR7000500009,가온전선,,KRW,N,N
KOSPI,STOCK,KRX,000520,KR7000520007,삼일제약,,KRW,N,N
KOSPI,STOCK,KRX,000540,KR7000540005,흥국화재,,KRW,N,N
KOSPI,STOCK,KRX,000545,KR7000541003,흥국화재우,,KRW,N,N
KOSPI,STOCK,KRX,000590,KR7000590000,CS홀딩스,,KRW,N,N
KOSPI,STOCK,KRX,000640,KR7000640003,동아쏘시오홀딩스,,KRW,N,N
KOSPI,STOCK,KRX,000650,KR7000650002,천일고속,,KRW,N,N
KOSPI,STOCK,KRX,000660,KR7000660001,SK하이닉스,,KRW,N,N
KOSPI,STOCK,KRX,000670,KR7000670000,영풍,,KRW,N,N
KOSPI,STOCK,KRX,000680,KR7000680009,LS네트웍스,,KRW,N,N
KOSPI,STOCK,KRX,000700,KR7000700005,유수홀딩스,,KRW,N,N
KOSPI,STOCK,KRX,000720,KR7000720003,현대건설,,KRW,N,N
KOSPI,STOCK,KRX,000725,KR7000721001,현대건설우,,KRW,N,N
KOSPI,STOCK,KRX,000760,KR7000760009,이화산업,,KRW,N,N
KOSPI,STOCK,KRX,000810,KR7000810002,삼성화재,,KRW,N,N
KOSPI,STOCK,KRX,000815,KR7000811000,삼성화재우,,KRW,N,N
KOSPI,STOCK,KRX,000850,KR7000850008,화천기공,,KRW,N,N
KOSPI,STOCK,KRX,000860,KR7000860007,강남제비스코,,KRW,N,N
KOSPI,STOCK,KRX,000880,KR7000880005,한화,,KRW,N,N
KOSPI,STOCK,KRX,000890,KR7000890004,보해양조,,KRW,N,N
KOSPI,STOCK,KRX,000910,KR7000910000,유니온,,KRW,N,N
KOSPI,STOCK,KRX,000950,KR7000950006,전방,,KRW,N,N
KOSPI,STOCK,KRX,000970,KR7000970004,한국주철관,,KRW,N,N
KOSPI,STOCK,KRX,000990,KR7000990002,DB하이텍,,KRW,N,N
KOSPI,STOCK,KRX,001020,KR7001020007,페이퍼코리아,,KRW,N,N
KOSPI,STOCK,KRX,001040,KR7001040005,CJ,,KRW,N,N
KOSPI,STOCK,KRX,001045,KR7001041003,CJ우,,KRW,N,N
KOSPI,STOCK,KRX,001060,KR7001060003,JW중외제약,,KRW,N,N
KOSPI,STOCK,KRX,001065,KR7001061001,JW중외제약우,,KRW,N,N
KOSPI,STOCK,KRX,001067,KR7001062009,JW중외제약2우B,,KRW,N,N
KOSPI,STOCK,KRX,001070,KR7001070002,대한방직,,KRW,N,N
